full_name;job_titel_ID;overtime_minuteses;final_payment;paymen_date
Joseph Kihn;3;4;1;24.04.2024
Tony Mayert;4;4;1;24.04.2024
Marvin Witting Sr.;5;2;0;24.04.2024
Sandra Schaden;6;4;4;24.04.2024
Shaun Marquardt;7;0;4;24.04.2024
Miss Tina Klocko MD;8;4;4;24.04.2024
Betsy Hansen;9;3;2;24.04.2024
Ann Wiza;10;3;5;24.04.2024
Nora Langosh;1;0;5;24.04.2024
Mrs. Cheryl Graham;2;3;5;24.04.2024
Lindsey O'Hara;3;2;2;24.04.2024
Jeannette Mayer;4;2;4;24.04.2024
Lynette Kessler;5;4;3;24.04.2024
Mr. Taylor Hirthe;6;2;4;24.04.2024
Cory Harber;7;3;5;24.04.2024
Mrs. Terri Nitzsche;8;3;5;24.04.2024
Seth Legros;9;4;4;24.04.2024
Cameron Prosacco;10;3;3;24.04.2024
Rachel Orn;1;1;2;24.04.2024
Leticia Beatty;2;4;0;24.04.2024
Carlton Kiehn;3;4;2;24.04.2024
Felix Welch;4;1;1;24.04.2024
Mrs. Teri Trantow;5;1;3;24.04.2024
Hazel Mosciski;6;0;0;24.04.2024
Ginger Feeney;7;4;5;24.04.2024
Aubrey O'Reilly;8;1;3;24.04.2024
Mr. Marc Koss;9;5;4;24.04.2024
Krystal O'Reilly Jr.;10;1;1;24.04.2024
Clayton Konopelski;1;0;1;24.04.2024
Luther Stroman;2;5;0;24.04.2024
Kerry PfefferGleason;3;1;1;24.04.2024
Elizabeth Schulist;4;4;2;24.04.2024
Miss Kelly Dickens;5;5;0;24.04.2024
Mr. David Konopelski;6;2;1;24.04.2024
Mr. Jean Stehr Sr.;7;1;3;24.04.2024
Pamela Larson;8;3;0;24.04.2024
Ernest Schowalter DDS;9;3;0;24.04.2024
Julie Bartell;10;4;2;24.04.2024
Beverly Runte;1;3;3;24.04.2024
Jean Mertz;2;3;3;24.04.2024
Brad Lynch;3;0;1;24.04.2024
Lynda Considine;4;5;5;24.04.2024
Charlene Wisoky;5;1;5;24.04.2024
Ms. Lynette Wolff MD;6;2;2;24.04.2024
Nelson Ankunding;7;4;0;24.04.2024
Lora Rogahn;8;5;4;24.04.2024
Delores Howe;9;4;3;24.04.2024
Marguerite Daugherty;10;0;0;24.04.2024
Joanne Schroeder;1;3;5;24.04.2024
Derrick Lehner;2;3;1;24.04.2024
Edgar Nolan DVM;3;2;3;24.04.2024
Samuel Hettinger;4;0;5;24.04.2024
Adrienne Franey;5;0;4;24.04.2024
Israel Block;6;1;4;24.04.2024
Blake Gibson;7;3;0;24.04.2024
Leah Greenfelder;8;3;5;24.04.2024
Jacob Ernser;9;5;3;24.04.2024
Lance Bahringer;10;5;5;24.04.2024
Mario Fisher;1;0;5;24.04.2024
Hazel Dickens Jr.;2;0;4;24.04.2024
Dr. Glenn Jerde;3;1;4;24.04.2024
Delores Toy;4;4;4;24.04.2024
Mrs. Miranda McLaughlinO'Hara;5;2;1;24.04.2024
Luke Schaden;6;2;3;24.04.2024
Edmond Vandervort;7;5;4;24.04.2024
Derrick Lowe;8;0;5;24.04.2024
Mabel Hermann;9;1;2;24.04.2024
Carmen Collins;10;5;3;24.04.2024
Mr. Calvin Padberg;1;4;5;24.04.2024
Dustin Schmidt;2;0;2;24.04.2024
Omar Gottlieb V;3;2;2;24.04.2024
Grady Fay;4;4;2;24.04.2024
Maurice Rosenbaum Jr.;5;5;5;24.04.2024
Yvonne Haley;6;0;0;24.04.2024
Lorenzo Fadel;7;2;4;24.04.2024
Ruby Hartmann;8;5;2;24.04.2024
Erika Goyette I;9;5;1;24.04.2024
Alexandra Rutherford;10;1;4;24.04.2024
Maryann Adams;1;4;2;24.04.2024
Gene Frami Jr.;2;5;2;24.04.2024
Janice Schinner;3;0;0;24.04.2024
Cindy Konopelski;4;3;5;24.04.2024
Mary Tromp;5;1;3;24.04.2024
Andy Jones;6;1;4;24.04.2024
Edith HeathcoteSchuster;7;2;2;24.04.2024
Kenneth Toy II;8;4;0;24.04.2024
Abraham Stiedemann;9;2;3;24.04.2024
Monica Shields;10;1;2;24.04.2024
Mary Bode;1;2;5;24.04.2024
Guadalupe Satterfield I;2;1;1;24.04.2024
Melissa Kunde;3;4;1;24.04.2024
Kathryn Oberbrunner;4;4;0;24.04.2024
Maureen Grant;5;2;1;24.04.2024
Kerry Willms;6;0;0;24.04.2024
Sherry O'Conner;7;2;0;24.04.2024
Ben Homenick;8;5;2;24.04.2024
Alexis Gleason;9;2;1;24.04.2024
Colin Kuvalis;10;5;2;24.04.2024
Elsie Veum;1;3;5;24.04.2024
Pedro Kilback;2;5;3;24.04.2024
Don Schamberger;3;0;4;24.04.2024
Roy Mohr;4;5;3;24.04.2024
Jerald Boehm;5;5;3;24.04.2024
Dr. Lewis Ward;6;4;5;24.04.2024
Darin Wisoky;7;1;2;24.04.2024
Lindsay Hessel;8;3;0;24.04.2024
Arlene Raynor;9;3;2;24.04.2024
Violet Buckridge;10;5;4;24.04.2024
Randolph Grant;1;4;2;24.04.2024
Mr. Domingo Fritsch;2;4;0;24.04.2024
Kelly Grant;3;4;5;24.04.2024
Dr. Audrey Luettgen;4;3;4;24.04.2024
Gary Kuhlman;5;5;2;24.04.2024
Douglas Doyle;6;1;3;24.04.2024
Vivian Hirthe;7;4;1;24.04.2024
Ms. Krista Pfannerstill DDS;8;4;1;24.04.2024
Elisa Walsh;9;5;3;24.04.2024
Rosalie Lang;10;4;3;24.04.2024
Jon Macejkovic DVM;1;2;3;24.04.2024
Miss Emily Reichel;2;3;3;24.04.2024
Paulette Rice;3;1;3;24.04.2024
Tara Boyer;4;5;4;24.04.2024
Lamar Hettinger;5;1;4;24.04.2024
Miss Heather Flatley;6;1;1;24.04.2024
Madeline Roob;7;0;3;24.04.2024
Julie Bayer IV;8;1;2;24.04.2024
Craig Rohan;9;0;4;24.04.2024
Gwen Lang;10;3;2;24.04.2024
Jeanne Zemlak;1;5;2;24.04.2024
Thomas Ferry III;2;4;0;24.04.2024
Stanley Emmerich;3;5;1;24.04.2024
Dr. Robert Stiedemann;4;3;0;24.04.2024
Alexis Nolan;5;1;5;24.04.2024
Devin Daniel PhD;6;0;3;24.04.2024
Roberto Bauch;7;4;1;24.04.2024
Jose Marquardt;8;1;0;24.04.2024
Orville Bayer;9;3;3;24.04.2024
Erik Kulas;10;2;0;24.04.2024
Gloria Abshire;1;4;5;24.04.2024
Olga Berge;2;2;0;24.04.2024
Samuel Rowe;3;4;2;24.04.2024
Ms. Debra Hilpert;4;1;2;24.04.2024
Vicky Baumbach Jr.;5;2;5;24.04.2024
Henry Bins;6;5;5;24.04.2024
Orville Maggio;7;3;3;24.04.2024
Wendell Ritchie DVM;8;0;1;24.04.2024
Shane Mann DVM;9;4;1;24.04.2024
Dr. Aaron Konopelski;10;0;3;24.04.2024
Maryann Bradtke;1;0;5;24.04.2024
Dexter Kunze;2;0;2;24.04.2024
Theodore Leffler;3;3;3;24.04.2024
Tami Gerlach;4;3;5;24.04.2024
Mamie Kshlerin;5;2;1;24.04.2024
Dr. Iris Beier;6;4;1;24.04.2024
Dr. Omar Hirthe;7;5;3;24.04.2024
Daniel Walter;8;1;5;24.04.2024
Elaine Marks;9;3;2;24.04.2024
Blanca Reynolds DDS;10;2;1;24.04.2024
Brandy Abshire;1;0;2;24.04.2024
Alexandra McLaughlin;2;0;2;24.04.2024
Irma Hills;3;0;2;24.04.2024
Grace Bogisich;4;5;1;24.04.2024
Garrett Sporer;5;5;1;24.04.2024
Eunice Schmidt;6;1;1;24.04.2024
Johnathan Cartwright;7;2;4;24.04.2024
Arnold Witting;8;4;4;24.04.2024
Marguerite Jones;9;1;0;24.04.2024
Amelia Doyle;10;5;2;24.04.2024
Miss Wanda Tremblay;1;5;3;24.04.2024
Madeline Harris;2;3;5;24.04.2024
Virgil Crooks;3;2;4;24.04.2024
Noel Schultz V;4;4;5;24.04.2024
Margaret Schiller;5;1;1;24.04.2024
Ernesto Shields;6;4;4;24.04.2024
Kenneth Hartmann;7;0;4;24.04.2024
Wilbert Stehr;8;0;1;24.04.2024
Dawn Littel;9;3;5;24.04.2024
Milton McGlynn;10;5;4;24.04.2024
Alexandra Mueller;1;5;1;24.04.2024
Rosemary Keeling;2;0;1;24.04.2024
Wanda NikolausCarter;3;2;2;24.04.2024
Mr. Ed Reynolds I;4;4;1;24.04.2024
Dr. Adrian Hegmann;5;5;1;24.04.2024
Mrs. Jill Tromp;6;1;0;24.04.2024
Maureen Monahan II;7;4;0;24.04.2024
Mr. Alejandro Watsica;8;3;1;24.04.2024
Rafael Goodwin;9;5;2;24.04.2024
Mrs. Josephine Lang;10;3;3;24.04.2024
Marty Dibbert;1;5;2;24.04.2024
Bryant GloverBoyer;2;5;0;24.04.2024
Gwen Hauck;3;5;3;24.04.2024
Miss Cheryl Crooks;4;3;3;24.04.2024
Gretchen Beatty;5;2;0;24.04.2024
Elijah Hilpert;6;4;4;24.04.2024
Saul Wolf Sr.;7;4;5;24.04.2024
Phil D'Amore;8;0;5;24.04.2024
Maria Kovacek;9;5;2;24.04.2024
Theresa Bernier;10;1;2;24.04.2024
Mary Ledner;1;2;5;24.04.2024
Mr. Levi Zemlak;2;0;3;24.04.2024
Miss Patricia Heathcote;3;0;2;24.04.2024
Miriam Reinger III;4;2;0;24.04.2024
Eric BergnaumStracke;5;3;2;24.04.2024
Clint Homenick;6;1;0;24.04.2024
Kerry Ondricka;7;2;0;24.04.2024
Cory ReingerKuhic;8;4;2;24.04.2024
Heidi Cormier Sr.;9;1;0;24.04.2024
Caleb Considine;10;4;4;24.04.2024
Ms. Bobbie McKenzie;1;0;3;24.04.2024
Terrance Dicki;2;4;5;24.04.2024
Jeremiah Barton;3;4;5;24.04.2024
Mrs. Sonja DuBuque;4;4;4;24.04.2024
Victor Wuckert;5;3;3;24.04.2024
Taylor Jacobson;6;1;0;24.04.2024
Neil Hilll;7;5;3;24.04.2024
Pedro Predovic;8;2;4;24.04.2024
Orville Wiza;9;1;5;24.04.2024
Isabel Bruen I;10;1;3;24.04.2024
April Bashirian;1;0;5;24.04.2024
Ted Murphy DDS;2;3;2;24.04.2024
Kristopher Gulgowski V;3;0;1;24.04.2024
Dr. Lynn Leffler;4;5;1;24.04.2024
Blanca Collins Sr.;5;4;0;24.04.2024
Lindsey FritschSwaniawski;6;5;4;24.04.2024
Barbara Sauer;7;5;3;24.04.2024
Shawn Hand;8;5;2;24.04.2024
Donnie Borer;9;3;4;24.04.2024
Anna Kris;10;2;1;24.04.2024
Teresa Upton;1;5;5;24.04.2024
Leroy Olson;2;3;2;24.04.2024
Jackie Bashirian;3;0;3;24.04.2024
Leo Stiedemann;4;1;1;24.04.2024
Tricia Volkman;5;1;1;24.04.2024
Mindy Schiller;6;1;1;24.04.2024
Luther Ernser;7;3;3;24.04.2024
Cristina Stracke;8;1;1;24.04.2024
Kelley Weissnat;9;2;3;24.04.2024
Patti Bode;10;5;4;24.04.2024
Jeffrey Blanda;1;5;0;24.04.2024
Dwayne Langworth;2;1;4;24.04.2024
Jennie Williamson;3;5;1;24.04.2024
Steve McDermott;4;0;2;24.04.2024
Clayton Walsh;5;0;5;24.04.2024
Iris Ferry;6;4;4;24.04.2024
Brian Lindgren;7;2;1;24.04.2024
Randy Hoeger;8;1;1;24.04.2024
Mr. Alfonso Howell;9;1;1;24.04.2024
Florence Rodriguez;10;2;5;24.04.2024
Marguerite Altenwerth;1;3;4;24.04.2024
Dr. Marco Herman;2;2;2;24.04.2024
Rosemarie Crooks;3;0;5;24.04.2024
Mr. Randall Jast;4;3;5;24.04.2024
Terrell Schiller;5;5;0;24.04.2024
Abel Schaefer;6;1;0;24.04.2024
Ms. Joy Steuber;7;0;2;24.04.2024
Ervin Spinka;8;3;1;24.04.2024
Malcolm WehnerFrami;9;0;2;24.04.2024
Eloise Mayert;10;2;1;24.04.2024
James Hettinger;1;2;2;24.04.2024
Eva Moore;2;2;3;24.04.2024
Miss Caroline Gusikowski;3;4;4;24.04.2024
Bryant Graham;4;2;2;24.04.2024
Sergio Robel;5;0;0;24.04.2024
Dr. Amy Brekke;6;3;5;24.04.2024
Stacy Cartwright;7;0;1;24.04.2024
Cecilia McClure;8;1;2;24.04.2024
Edmund Wisoky;9;5;4;24.04.2024
Al MacGyver;10;5;1;24.04.2024
Alma Walsh;1;3;1;24.04.2024
Freda Hand;2;1;4;24.04.2024
Rodney Sawayn;3;5;4;24.04.2024
Elizabeth Maggio;4;3;2;24.04.2024
Kenny Torp;5;3;1;24.04.2024
Melinda Daugherty;6;4;3;24.04.2024
Jay O'Keefe;7;3;5;24.04.2024
Nina Graham;8;4;4;24.04.2024
Naomi Swift;9;4;1;24.04.2024
Elena Sauer;10;4;5;24.04.2024
Jim Veum;1;4;2;24.04.2024
Joshua Runolfsson MD;2;1;1;24.04.2024
Ms. Patti Grimes;3;1;4;24.04.2024
Derek Kuhlman;4;0;4;24.04.2024
Leo Hauck;5;0;5;24.04.2024
Melba Crist DDS;6;3;4;24.04.2024
Katherine Huel;7;1;0;24.04.2024
Mr. Jose Ziemann;8;3;0;24.04.2024
Kendra Weimann;9;2;1;24.04.2024
Madeline O'Keefe;10;0;0;24.04.2024
Mrs. Brooke Wuckert;1;1;5;24.04.2024
Dr. Kelvin Hintz;2;1;2;24.04.2024
Grant StrackeBradtke;3;0;5;24.04.2024
Eva Grady;4;0;3;24.04.2024
Tracy Wisozk;5;1;2;24.04.2024
Johnnie Heaney;6;1;2;24.04.2024
Karla Abernathy;7;2;5;24.04.2024
Mr. Rudolph Beier;8;5;3;24.04.2024
Jimmie McCullough;9;4;3;24.04.2024
Dale Wilkinson;10;1;5;24.04.2024
Mrs. Lillian BeerBrakus III;1;2;3;24.04.2024
Noel McGlynn;2;4;4;24.04.2024
Matthew Harris;3;5;0;24.04.2024
Kimberly Kerluke;4;3;0;24.04.2024
Deanna Sanford;5;1;2;24.04.2024
Camille Smith;6;0;3;24.04.2024
Dewey Boyle V;7;0;5;24.04.2024
Myrtle Abernathy;8;5;1;24.04.2024
Hector Champlin IV;9;4;3;24.04.2024
Marsha CarterBrekke;10;4;1;24.04.2024
Bobbie Goyette;1;1;0;24.04.2024
Bonnie Hoeger;2;2;3;24.04.2024
Dr. Pearl Runolfsdottir;3;5;3;24.04.2024
Lydia WolffBlanda;4;3;2;24.04.2024
Rose Mante;5;3;2;24.04.2024
Paulette Auer;6;2;4;24.04.2024
Gwendolyn Littel;7;0;1;24.04.2024
Jasmine Jenkins;8;2;2;24.04.2024
Glenda Zulauf;9;2;5;24.04.2024
Candice Price;10;3;0;24.04.2024
Katherine Ortiz DVM;1;4;0;24.04.2024
Irma Grant DDS;2;5;3;24.04.2024
Darla Krajcik;3;4;0;24.04.2024
Philip Wilkinson;4;4;0;24.04.2024
Courtney Haag;5;3;5;24.04.2024
Allan Predovic PhD;6;4;1;24.04.2024
Audrey Kub;7;5;1;24.04.2024
Elsie Kutch;8;1;4;24.04.2024
Olga Mann;9;5;4;24.04.2024
Sylvia Wolff;10;1;1;24.04.2024
Loren Sauer;1;5;3;24.04.2024
Dr. Gabriel Emmerich;2;5;4;24.04.2024
Crystal Hilpert;3;1;3;24.04.2024
Donald Cremin;4;1;4;24.04.2024
Maria Waters;5;3;0;24.04.2024
Marcus Haag;6;1;1;24.04.2024
Ivan Fisher Sr.;7;3;2;24.04.2024
Martha CormierSmith V;8;0;4;24.04.2024
Ms. Elisa Nicolas;9;2;5;24.04.2024
Earl Hyatt;10;2;2;24.04.2024
Glenda Mann MD;1;1;1;24.04.2024
Andre Ziemann;2;5;4;24.04.2024
Cora Ankunding;3;3;3;24.04.2024
Vincent Armstrong;4;3;4;24.04.2024
Doreen Kohler;5;5;2;24.04.2024
Herman Jones;6;0;5;24.04.2024
Stella Runolfsson;7;5;4;24.04.2024
Marcos Franey;8;2;0;24.04.2024
Orville Russel;9;3;1;24.04.2024
Jan Aufderhar;10;1;3;24.04.2024
Verna Hodkiewicz;1;2;5;24.04.2024
Tiffany Borer;2;4;4;24.04.2024
Danielle Murphy;3;2;1;24.04.2024
Robin Effertz;4;2;3;24.04.2024
Marta Haley;5;2;1;24.04.2024
Jackie Graham;6;2;3;24.04.2024
Ms. Bessie Franecki I;7;0;1;24.04.2024
Sabrina Schimmel;8;4;5;24.04.2024
Elaine Stark IV;9;3;3;24.04.2024
Dr. Opal Fritsch;10;4;0;24.04.2024
Patricia Pollich;1;4;1;24.04.2024
Marta Towne;2;1;4;24.04.2024
Amelia Lockman;3;1;0;24.04.2024
Heather AltenwerthBrakus;4;2;3;24.04.2024
Dean Effertz;5;3;2;24.04.2024
Becky Schulist;6;3;4;24.04.2024
Zachary Mann;7;3;0;24.04.2024
Matt Medhurst;8;1;3;24.04.2024
Dennis Franey;9;3;0;24.04.2024
Hugh Hand;10;5;5;24.04.2024
Randal Bailey;1;1;0;24.04.2024
Mack Waelchi;2;3;0;24.04.2024
Cary Effertz;3;3;4;24.04.2024
Perry Hills Sr.;4;4;0;24.04.2024
Dr. Lester Gleason DDS;5;0;0;24.04.2024
Charles Cole;6;1;0;24.04.2024
Freda Murazik;7;2;5;24.04.2024
Curtis Toy;8;3;1;24.04.2024
Barbara Littel;9;3;0;24.04.2024
Olivia Rau;10;2;1;24.04.2024
Noah Zemlak;1;2;4;24.04.2024
Rochelle Murazik;2;2;0;24.04.2024
Dr. Tammy McLaughlin V;3;3;0;24.04.2024
Doyle Price;4;4;2;24.04.2024
Monique Heller;5;4;0;24.04.2024
Wilfred Luettgen II;6;0;4;24.04.2024
Gwen Tremblay DDS;7;5;1;24.04.2024
Stephen Armstrong;8;3;3;24.04.2024
Marguerite ConnLowe Sr.;9;0;2;24.04.2024
Naomi Koepp;10;2;4;24.04.2024
Byron Kautzer;1;3;1;24.04.2024
Pete Medhurst III;2;3;4;24.04.2024
Kelly Beier;3;5;0;24.04.2024
Calvin Cronin;4;0;3;24.04.2024
Johnnie Glover;5;2;1;24.04.2024
Lola Paucek;6;2;5;24.04.2024
Gayle Marks;7;2;0;24.04.2024
Viola Nader;8;0;0;24.04.2024
Darla Yundt;9;5;0;24.04.2024
Richard Thompson;10;1;2;24.04.2024
Antoinette BoganCollier;1;5;4;24.04.2024
Betsy Mohr;2;2;3;24.04.2024
Conrad Brakus;3;0;3;24.04.2024
Ms. Sherry Weissnat;4;4;3;24.04.2024
April Williamson;5;2;3;24.04.2024
Levi Smith Sr.;6;3;1;24.04.2024
Marianne Powlowski;7;2;4;24.04.2024
Mrs. Stephanie Langosh;8;1;4;24.04.2024
Teri Dickinson;9;3;5;24.04.2024
Rosalie Hagenes;10;5;2;24.04.2024
Nathan Bernhard;1;5;2;24.04.2024
Jimmy RoobKshlerin;2;4;0;24.04.2024
Isaac Haley;3;0;2;24.04.2024
Theodore McClure I;4;3;2;24.04.2024
Stephen Feest;5;5;5;24.04.2024
Santos Larkin;6;1;3;24.04.2024
Mrs. Guadalupe Weber;7;4;3;24.04.2024
Gilberto ReichelSchmeler;8;2;0;24.04.2024
Dr. Peter Thiel;9;2;5;24.04.2024
Jana Jones;10;5;1;24.04.2024
Charlie Bergnaum Sr.;1;0;4;24.04.2024
Nelson Tillman;2;4;3;24.04.2024
Stephanie Collier;3;0;0;24.04.2024
Richard Hills;4;4;4;24.04.2024
Terence Armstrong;5;3;1;24.04.2024
Monica Hermiston;6;3;2;24.04.2024
Mrs. Vicki Bruen;7;1;1;24.04.2024
Connie Fay;8;2;3;24.04.2024
Janie Oberbrunner;9;1;2;24.04.2024
Dr. Roland Kovacek;10;3;1;24.04.2024
Sylvia Cruickshank;1;1;5;24.04.2024
Harriet McCullough;2;4;1;24.04.2024
Darryl Mosciski;3;1;2;24.04.2024
Jacqueline Gibson;4;4;2;24.04.2024
Dr. Michelle Waelchi;5;0;0;24.04.2024
Theodore Lockman;6;5;3;24.04.2024
Clinton Goyette;7;3;1;24.04.2024
Hilda McGlynn;8;0;4;24.04.2024
Delia Jenkins;9;5;3;24.04.2024
Cristina Thiel;10;2;0;24.04.2024
Katrina Walter;1;0;2;24.04.2024
Julia Hermann;2;3;5;24.04.2024
Joel Lubowitz;3;3;5;24.04.2024
Mrs. Lucille Treutel DVM;4;2;5;24.04.2024
Sally Bins I;5;2;4;24.04.2024
Katrina Schumm;6;2;5;24.04.2024
Jane Jakubowski IV;7;2;1;24.04.2024
Paula Jacobson;8;0;5;24.04.2024
Jon Kunde;9;4;5;24.04.2024
Mr. Jackie Bode;10;2;1;24.04.2024
Luke Lueilwitz;1;5;4;24.04.2024
Elijah RiceProhaska;2;2;5;24.04.2024
Jessie Bauch;3;5;1;24.04.2024
Sammy Glover II;4;3;4;24.04.2024
Jamie Collier;5;3;1;24.04.2024
Ms. Alma Hills;6;2;3;24.04.2024
Sandy Schiller;7;0;2;24.04.2024
Dr. Gilbert Armstrong;8;2;0;24.04.2024
Christina Hayes;9;3;3;24.04.2024
Karen Roberts;10;0;3;24.04.2024
Dr. Brent Bruen;1;4;2;24.04.2024
Andy Crist;2;4;2;24.04.2024
Dwight Flatley;3;1;3;24.04.2024
Mark Gislason;4;0;5;24.04.2024
Ana O'Reilly;5;5;1;24.04.2024
Hector Beer;6;3;0;24.04.2024
Aaron WolffSchulist;7;5;3;24.04.2024
Edna Heller;8;2;5;24.04.2024
Jessie Goldner;9;3;4;24.04.2024
Dr. Rodolfo Robel;10;4;5;24.04.2024
Madeline Rempel;1;1;0;24.04.2024
Marsha Rath;2;4;2;24.04.2024
Hilda Toy;3;5;2;24.04.2024
Debra Macejkovic;4;2;0;24.04.2024
Marion Heathcote;5;2;4;24.04.2024
Jack Hirthe I;6;5;3;24.04.2024
Kyle Hettinger;7;3;4;24.04.2024
Jonathon Jakubowski;8;0;2;24.04.2024
Amelia Franecki;9;2;3;24.04.2024
Angel Treutel;10;4;0;24.04.2024
Meghan Koch;1;3;5;24.04.2024
Dwayne West;2;4;1;24.04.2024
Mr. Derrick Barton;3;3;3;24.04.2024
Brittany AbernathyDouglas;4;1;3;24.04.2024
Vicki Ryan;5;3;2;24.04.2024
Sarah Schmeler;6;0;5;24.04.2024
Homer Lebsack;7;3;5;24.04.2024
Thelma Bahringer;8;3;1;24.04.2024
Yvette Schneider;9;3;5;24.04.2024
Blanche Bruen;10;5;1;24.04.2024
Loretta Farrell;1;1;4;24.04.2024
Dr. Jacquelyn Rutherford;2;3;3;24.04.2024
Hugh Friesen;3;5;3;24.04.2024
Kevin Hauck;4;4;5;24.04.2024
Austin Maggio;5;3;3;24.04.2024
Seth Adams;6;4;3;24.04.2024
Miss Rochelle Dibbert;7;4;2;24.04.2024
Rachel Kautzer;8;4;5;24.04.2024
Mitchell Rempel;9;4;2;24.04.2024
Dominick Hermiston;10;5;3;24.04.2024
Mr. Salvador Keebler DDS;1;3;2;24.04.2024
Alejandro Legros;2;2;2;24.04.2024
Miss Samantha Pagac;3;1;5;24.04.2024
Natasha Goodwin;4;4;5;24.04.2024
Laurence Kshlerin;5;4;4;24.04.2024
Jim Schaden;6;3;2;24.04.2024
Joann Greenholt;7;0;2;24.04.2024
Gloria Nicolas Jr.;8;1;3;24.04.2024
Florence Goyette III;9;1;4;24.04.2024
Marguerite Renner;10;4;1;24.04.2024
Lynette Tromp;1;0;5;24.04.2024
Julia Davis;2;3;2;24.04.2024
Troy Swaniawski;3;0;3;24.04.2024
Mrs. Robyn Franecki;4;0;0;24.04.2024
Sally Goodwin;5;4;3;24.04.2024
Mr. Harry Greenfelder;6;3;1;24.04.2024
Darnell Cassin;7;1;3;24.04.2024
Paul Gerlach;8;5;4;24.04.2024
Luke Rolfson;9;1;1;24.04.2024
Jon Boyer;10;3;0;24.04.2024
Darlene Goldner;1;0;2;24.04.2024
Sonja Herman;2;3;1;24.04.2024
Elvira LockmanMoore;3;5;5;24.04.2024
Jessie Predovic;4;3;1;24.04.2024
Marianne Walsh;5;1;1;24.04.2024
Dr. Miguel VonRueden;6;1;5;24.04.2024
Garry Abshire IV;7;5;1;24.04.2024
Mr. Herman Vandervort;8;2;3;24.04.2024
Kent Kautzer;9;0;0;24.04.2024
David Johnson;10;3;1;24.04.2024
Joe Parisian;1;3;3;24.04.2024
Vicki Yundt;2;4;4;24.04.2024
Rhonda Nicolas PhD;3;2;0;24.04.2024
Dr. Mabel Mann;4;5;4;24.04.2024
Clarence Grady;5;4;5;24.04.2024
Agnes Mertz;6;1;3;24.04.2024
Michelle Cormier;7;4;5;24.04.2024
Laurence Leuschke IV;8;3;5;24.04.2024
Kurt Denesik;9;1;5;24.04.2024
Yvette Halvorson;10;1;0;24.04.2024
Lula Quigley;1;4;1;24.04.2024
Kendra Connelly;2;2;3;24.04.2024
Luis Kunze;3;2;2;24.04.2024
Mitchell O'Connell;4;0;3;24.04.2024
Orville Dach;5;5;2;24.04.2024
Leonard Carroll;6;3;2;24.04.2024
Jenny Howell;7;5;4;24.04.2024
Mr. Randy Towne;8;4;4;24.04.2024
Dr. Israel Rolfson;9;0;3;24.04.2024
Mr. Eugene Batz;10;4;0;24.04.2024
Marian VandervortDaugherty;1;4;3;24.04.2024
Wilfred Leffler II;2;5;4;24.04.2024
Tommie Brakus I;3;0;1;24.04.2024
Amos Mosciski;4;1;2;24.04.2024
Dr. Greg Hayes;5;4;1;24.04.2024
Harry Pfannerstill;6;2;4;24.04.2024
Irvin Collins;7;3;3;24.04.2024
Marcia Littel DDS;8;1;4;24.04.2024
Kent Funk;9;3;2;24.04.2024
Manuel Yundt;10;0;0;24.04.2024
Bradford Herzog;1;0;3;24.04.2024
Penny Murazik;2;5;3;24.04.2024
Kim Yundt;3;1;4;24.04.2024
Connie Ondricka MD;4;5;3;24.04.2024
Cora Dietrich;5;0;0;24.04.2024
Mrs. Angelica Cole;6;1;1;24.04.2024
Ricky Donnelly;7;3;3;24.04.2024
Leslie O'ConnellHilpert;8;3;3;24.04.2024
Salvador Parisian PhD;9;3;4;24.04.2024
Carroll AdamsMuller;10;1;5;24.04.2024
Roosevelt Stracke;1;5;1;24.04.2024
Alexandra Pouros DVM;2;3;3;24.04.2024
Christian WardHuels;3;5;4;24.04.2024
Ms. Mary Walsh;4;1;3;24.04.2024
Mr. Andre Mueller;5;1;2;24.04.2024
Allen Kling III;6;3;2;24.04.2024
Lauren Rolfson;7;4;4;24.04.2024
Alberto Buckridge PhD;8;1;3;24.04.2024
Beverly D'Amore;9;4;1;24.04.2024
Guadalupe Reinger;10;5;1;24.04.2024
Cedric Schinner;1;5;2;24.04.2024
Mattie Gleichner;2;1;1;24.04.2024
Mr. Jon Howe;3;4;4;24.04.2024
Rogelio Runolfsson;4;4;3;24.04.2024
Julius Waters;5;2;4;24.04.2024
Allan Corkery;6;2;2;24.04.2024
Viola Bahringer;7;0;1;24.04.2024
Vincent Gorczany;8;0;0;24.04.2024
Drew Bailey;9;4;0;24.04.2024
Pam Keebler;10;4;3;24.04.2024
Mrs. Jan West;1;3;4;24.04.2024
Mr. Timothy Cruickshank;2;2;0;24.04.2024
Jackie Champlin;3;0;4;24.04.2024
Ivan Lueilwitz;4;0;3;24.04.2024
Joe Huels Jr.;5;0;3;24.04.2024
Jermaine Torp;6;4;5;24.04.2024
Jessica Shanahan;7;2;2;24.04.2024
Lois Dietrich;8;2;0;24.04.2024
Archie Franey;9;2;4;24.04.2024
Kristi Herman;10;2;1;24.04.2024
Alberto BergeJerde;1;1;0;24.04.2024
Frederick Lindgren III;2;4;0;24.04.2024
Mrs. Darla Veum;3;0;5;24.04.2024
Martin Howell IV;4;3;0;24.04.2024
Ida Fadel;5;0;4;24.04.2024
Blake Padberg;6;5;5;24.04.2024
Shari Feest;7;3;4;24.04.2024
Ed Towne;8;1;0;24.04.2024
Jessie Greenholt;9;4;0;24.04.2024
Hugo Sipes;10;2;3;24.04.2024
